Both sexes,40 - 44 years,Meath,16635
Both sexes,40 - 44 years,Offaly,5758
Both sexes,40 - 44 years,Westmeath,6479
Both sexes,40 - 44 years,Wexford,11136
Both sexes,40 - 44 years,Wicklow,11378
Both sexes,40 - 44 years,Clare,9118
Both sexes,40 - 44 years,Cork City,7543
Both sexes,40 - 44 years,Cork County,33143
Both sexes,40 - 44 years,Kerry,10687
Both sexes,40 - 44 years,Limerick City and County,14079
Both sexes,40 - 44 years,Tipperary,11713
Both sexes,40 - 44 years,Waterford City and County,8454
Both sexes,40 - 44 years,Galway City,5340
Both sexes,40 - 44 years,Galway County,14080
Both sexes,40 - 44 years,Leitrim,2332
Both sexes,40 - 44 years,Mayo,9017
Both sexes,40 - 44 years,Roscommon,4577
Both sexes,40 - 44 years,Sligo,4513
Both sexes,40 - 44 years,Cavan,5493
Both sexes,40 - 44 years,Donegal,11412
Both sexes,40 - 44 years,Monaghan,4443
Both sexes,45 - 49 years,Carlow,3914
Both sexes,45 - 49 years,Dublin City,34093
Both sexes,45 - 49 years,D�n Laoghaire-Rathdown,14319
Both sexes,45 - 49 years,Fingal,20428
Both sexes,45 - 49 years,South Dublin,17697
Both sexes,45 - 49 years,Kildare,16235
Both sexes,45 - 49 years,Kilkenny,6869
Both sexes,45 - 49 years,Laois,5942
Both sexes,45 - 49 years,Longford,2799
Both sexes,45 - 49 years,Louth,9250
Both sexes,45 - 49 years,Meath,14551
Both sexes,45 - 49 years,Offaly,5380
Both sexes,45 - 49 years,Westmeath,6261
Both sexes,45 - 49 years,Wexford,10742
Both sexes,45 - 49 years,Wicklow,10327
Both sexes,45 - 49 years,Clare,8740
Both sexes,45 - 49 years,Cork City,7017
Both sexes,45 - 49 years,Cork County,30338
Both sexes,45 - 49 years,Kerry,10418
Both sexes,45 - 49 years,Limerick City and County,12913
Both sexes,45 - 49 years,Tipperary,11270
Both sexes,45 - 49 years,Waterford City and County,8196
Both sexes,45 - 49 years,Galway City,4383
Both sexes,45 - 49 years,Galway County,13308
Both sexes,45 - 49 years,Leitrim,2214
Both sexes,45 - 49 years,Mayo,8933
Both sexes,45 - 49 years,Roscommon,4495
Both sexes,45 - 49 years,Sligo,4344
Both sexes,45 - 49 years,Cavan,5291
Both sexes,45 - 49 years,Donegal,11326
Both sexes,45 - 49 years,Monaghan,4117
Both sexes,50 - 54 years,Carlow,3611
Both sexes,50 - 54 years,Dublin City,31743
Both sexes,50 - 54 years,D�n Laoghaire-Rathdown,14039
Both sexes,50 - 54 years,Fingal,16743
Both sexes,50 - 54 years,South Dublin,15824
Both sexes,50 - 54 years,Kildare,13916
Both sexes,50 - 54 years,Kilkenny,6520
Both sexes,50 - 54 years,Laois,5165
Both sexes,50 - 54 years,Longford,2485
Both sexes,50 - 54 years,Louth,8142
Both sexes,50 - 54 years,Meath,12360
Both sexes,50 - 54 years,Offaly,5156
Both sexes,50 - 54 years,Westmeath,5761
Both sexes,50 - 54 years,Wexford,10043
Both sexes,50 - 54 years,Wicklow,9803
Both sexes,50 - 54 years,Clare,8063
Both sexes,50 - 54 years,Cork City,7523
Both sexes,50 - 54 years,Cork County,27431
Both sexes,50 - 54 years,Kerry,10152
Both sexes,50 - 54 years,Limerick City and County,12073
Both sexes,50 - 54 years,Tipperary,10785
Both sexes,50 - 54 years,Waterford City and County,7825
Both sexes,50 - 54 years,Galway City,3954
Both sexes,50 - 54 years,Galway County,11842
Both sexes,50 - 54 years,Leitrim,2129
Both sexes,50 - 54 years,Mayo,8907
Both sexes,50 - 54 years,Roscommon,4365
Both sexes,50 - 54 years,Sligo,4399
Both sexes,50 - 54 years,Cavan,4963
Both sexes,50 - 54 years,Donegal,10300
Both sexes,50 - 54 years,Monaghan,3913
Both sexes,55 - 59 years,Carlow,3246
Both sexes,55 - 59 years,Dublin City,28792
Both sexes,55 - 59 years,D�n Laoghaire-Rathdown,12558
Both sexes,55 - 59 years,Fingal,14321
Both sexes,55 - 59 years,South Dublin,14819
Both sexes,55 - 59 years,Kildare,11611
Both sexes,55 - 59 years,Kilkenny,6027
Both sexes,55 - 59 years,Laois,4624
Both sexes,55 - 59 years,Longford,2383
Both sexes,55 - 59 years,Louth,6980
Both sexes,55 - 59 years,Meath,10124
Both sexes,55 - 59 years,Offaly,4571
Both sexes,55 - 59 years,Westmeath,5077
Both sexes,55 - 59 years,Wexford,9002
Both sexes,55 - 59 years,Wicklow,8273
Both sexes,55 - 59 years,Clare,7407
Both sexes,55 - 59 years,Cork City,7184
